Id,Question,Answer
1,What is the capital of Moldova?,The capital of Moldova is Chisinau.
2,What are some of the biggest cities in Moldova?,"Some of the biggest cities in Moldova are Chisinau, Tiraspol, and Balti."
3,What is the population of Moldova?,The population of Moldova is 2.6 million.
4,What is the currency of Moldova?,The currency of Moldova is the Moldovan Leu.
5,What languages are the most spoken in Moldova?,The most spoken languages in Moldova are Romanian and Russian.
6,What is the climate like in Moldova?,The climate in Moldova is soft and comfortable for everyone.
7,What is the national dish of Moldova?,The national dish of Moldova is Tocana with Mamaliga.
8,What is the national drink of Moldova?,"The national drink of Moldova is wine, 'vin' or 'gin'."
9,What are the most popular music bands in Moldova?,"Carla's Dreams, Zdob si Zdub, and O-Zone (Dan Balan only) are some of the most popular."
10,What are moldovan mostly proud of?,"Moldovan people are mostly proud of their history, culture, and wine."
11,What are the main districts in Chisinau?,"The main districts in Chisinau are Botanica, Buiucani, Centru, Ciocana, and Riscani."
12,What are the biggest suburbans of Chisinau?,"The biggest suburbans of Chisinau are Durlesti, Colonita, Singera and Gratiesti."
13,What types of public transport are available in Chisinau?,"In Chisinau, you can use buses, trolleybuses, and minibuses as public transport."
14,What are the most universal transport routes?,"The most useful and universal are trolleybuses 22 and 10, buses 5 and 23, minibuses 103 and 112."
15,What are the most popular malls in Chisinau?,"The most popular shopping mall in Chisinau are Malldova, PortMall, and Sun City."
16,What are the most popular parks in Chisinau?,"The most popular parks in Chisinau are Valea Morilor, Valea Trandafirilor, and La Izvor."
17,What are the most affordable places to eat?,"The most affordable places to eat are Das Kebab and Culinaria de la Linella."
18,Where can I try national cuisine as well as more common dishes?,"Andy's Pizza and La Placinte would be the best choice."
19,What are the main transport nodes of Chisinau?,"Those are 4 Garas: Nord, Centrala, Sud and simply Gara (train station); plus the Airport."
20,What are the biggest universities in Chisinau?,"Those are UTM, USM, USMF and ASEM."
21,What does USM stand for?,"USM stands for State University of Moldova located in the centre of Chisinau."
22,What does UTM stand for?,"UTM stands for Technical University of Moldova located in the Riscani district of Chisinau."
23,What does USMF stand for?,"USMF stands for State University of Medicine and Pharmacy located in the centre of the capital."
24,What does ASEM stand for?,"ASEM stands for Academy of Economic Studies of Moldova located in the centre of the capital."
25,Which taxi services are available in Moldova?,"The available taxi services are YandexGo, Letz, Hip and some local services."
26,What kinds of ecological transport are available in Chisinau?,"In Chisinau, you can use electric scooters (Fox, Bolt, Amigo, Duck), bicycles (Amigo), and electric cars (Amigo)."
27,What are the most visited museums in Chisinau?,"The most attractive museums in Chisinau are the National Museum of History, the National Museum of Ethnography and the National Museum of Fine Arts."
28,What is the universal phone number in case of emergency?,"112 is the number for ambulance, police and fire department."
29,Are there any public health institutions in Chisinau?,"Yes, those are the hospitals and polyclinics in each district of the city."
30,Are there any private medical institutions in Chisinau?,"Yes, the most popular among them are ProMed and Medpark."
31,Are there private medical laboratories in Chisinau?,"Of course, people mostly prefer to visit Invitro Diagnostics, Eurolab snd Synevo."
32,What are the religion institutions present in Moldova?,"There are orthodox and catholic churchs, and the jewish synagogues."
33,In which institutions is it possible to solve administrative problems?,"Local ASP (agency for public services) offices are the best choice for that."
34,Where can I solve problems with my temporary residence permit?,"The Bureau of Migration located in the centre of Chisinau (Stefan cel Mare street) will help you in that."
35,What are the largest software companies present in Moldova?,"The largest software companies are Endava, Pentalog, Amdaris, Crunchyroll and many other."
36,Which platform should I choose to find a job in Moldova?,"There are several options for you: RabotaMd, Jobber and DeLucru."
37,What are the most popular and reliable banks in Moldova?,"Maib, Moldindconbank and Victoriabank are the most appreciated by their customers."
38,Where can I exchange currency to Moldovan Leu?,"You can do that in any exhnage office or bank (unless you have rubles or grivnas)."
39,Where can I watch the films in Chisinau?,"Patria cinema would be your choice."
40,What are the most popular theatres in Chisinau?,"The most popular theatres are the National Opera and Ballet Theatre and the National Theatre Mihai Eminescu."
41,Where can I buy tickets for the cultural events and concerts?,"You can use ITicket, AfishaMd ot purchase tickets directly at the box office."
42,How much does one ticket for the public transport cost?,"One ticket costs 6 lei, but I would suggest buying a pass."
43,What are the available passes for public transport?,"You can buy a pass for 1, 3, or 6 months but it will let you use only buses and trolleybuses."
44,Where can I find all public transport routes?,"At any bus station or in the EasyWay or Transy apps."
45,Where can I find apartments for rent in Chisinau?,"You can use 999 platform which also contains all sorts of adds."
46,What are the best resorts in Moldova?,"The best resorts are Vadul lui Voda on the river Nistru and Costesti-Stinca on the river Prut."
47,Where can I buy the cheapest products of all kinds?,"Piata Centrala is the place where you can find fresh fruits,vegetables, meat etc."
48,What is the largest airport in Moldova?,"The largest airport in Moldova is Chisinau International Airport."
49,What are some popular traditional festivals in Moldova?,"Some popular festivals in Moldova are the Wine Festival and Martisor Festival."
50,What is the best time to visit Moldova?,"The best time to visit Moldova is from May to September, during the warm months."
51,What is the most famous natural attraction in Moldova?,"The most famous natural attraction in Moldova is the Orheiul Vechi Monastery."
52,What is the most popular alcoholic beverage in Moldova?,"The most popular alcoholic beverage in Moldova is wine, particularly local wines such as Feteasca Neagra."
53,What is the best way to get around Chisinau?,"The best way to get around Chisinau is by public transport, including buses and trolleybuses."
54,What is the size of Chisinau?,"Chisinau covers an area of about 120 square kilometers."
55,Where can I find the best views of Chisinau?,"You can find the best views of Chisinau from places like the Stefan Cel Mare Park and the Valea Morilor Park."
56,What is the most common type of architecture in Chisinau?,"The most common type of architecture in Chisinau is Soviet-era and Neo-Classical buildings."
57,What is the official language of Moldova?,"The official language of Moldova is Romanian."
58,What type of government does Moldova have?,"Moldova has a parliamentary republic form of government."
59,What is the biggest lake in Moldova?,"The biggest lake in Moldova is Lake Beleu, located near the Danube River."
60,Is Moldova a member of the European Union?,"No, Moldova is not a member of the European Union, but it has a partnership agreement with the EU."
61,What is the highest point in Moldova?,"The highest point in Moldova is Mount Balanesti, which is 430 meters above sea level."
62,What are the main industries in Moldova?,"The main industries in Moldova include agriculture, food processing, and textiles."
63,What is the most famous wine region in Moldova?,"The most famous wine region in Moldova is the Cricova wine cellars."
64,What is the most famous historical site in Chisinau?,"The most famous historical site in Chisinau is the Stefan Cel Mare Park and the Monument to Stephen the Great."
65,Where can I find traditional Moldovan crafts?,"You can find traditional Moldovan crafts at the National Museum of Ethnography and at local markets in Chisinau."
66,What is the main river flowing through Moldova?,"The main river flowing through Moldova is the Nistru River."
67,What is a popular Moldovan dessert?,"A popular Moldovan dessert is placinta, a pastry filled with various fillings such as cheese, apple, or pumpkin."
68,What is the average temperature in Moldova in winter?,"The average temperature in Moldova during winter is around -2°C (28°F)."
69,How many official languages does Moldova have?,"Moldova has one official language, which is Romanian, although Russian is also widely spoken."
70,What is the most popular type of food in Moldova?,"The most popular type of food in Moldova includes dishes like mamaliga (cornmeal porridge), tocana (stew), and sarmale (stuffed cabbage rolls)."
71,Where can I find the best traditional Moldovan food?,"The best traditional Moldovan food can be found at restaurants like La Placinte and Andy's Pizza."
72,Is there any nightlife in Chisinau?,"Yes, Chisinau has a vibrant nightlife with many bars, clubs, and cafes to explore."
73,What is the public transport fare in Chisinau?,"The public transport fare in Chisinau is typically 6 Lei for a single ride."
74,What is the name of Moldova's national flag?,"Moldova's national flag is called the Tricolor, which consists of blue, yellow, and red stripes with the national coat of arms."
75,What is the most famous wine brand in Moldova?,"The most famous wine brand in Moldova is Cricova, known for its sparkling wine."
76,What is the main religion in Moldova?,"The main religion in Moldova is Eastern Orthodox Christianity."
77,How can I get a visa for Moldova?,"You can get a visa for Moldova by applying through the Moldovan embassy or consulate in your home country."
78,What is the time zone of Moldova?,"Moldova is in the Eastern European Time Zone (EET), which is UTC+2, and UTC+3 during daylight saving time."
79,What are some major sports in Moldova?,"Some major sports in Moldova include football, rugby, and athletics."
80,What are some outdoor activities to do in Chisinau?,"In Chisinau, you can enjoy outdoor activities such as walking in parks, hiking in nearby forests, and cycling."
81,What is the most famous cultural event in Moldova?,"The most famous cultural event in Moldova is the Wine Festival, celebrated annually in October."
82,What is the major export product of Moldova?,"The major export products of Moldova are wine, fruits, and textiles."
